Question Categories,Question answers,Model Questions,Keywords
Book Purchase,"Please, either form a cart in the https://panthermart.gsu.edu Panthermart and assign it to Brittny, or send an email to ops@trendscenter.org","How to request a book purchase
How do I buy books for my lab? 
I need to purchase a textbook from amazon. How to start?
","""Book Purchase"" ""Textbook"" ""Books"""
Graduate Student Questions,"For all graduate student issues at the GSU CS department, please contact Tyra Robinson trobinson100@gsu.edu ","Who should I contact for graduate students related questions?
Questions about graduate students at CS department 
","""Graduate Students"". ""Grads"", ""Grad"","
Reimbursements,Please complete and submit a TReNDS Payment Request form to ops@trendscenter.org. The Payment Request Form is in the https://sites.google.com/gsu.edu/trends-center-intranet/purchasing-and-travel  Purchasing and Travel section of TReNDS Intranet with instructions included in the download. All payment requests should be made within 30 days of the receipt being submitted for reimbursements. It is important to make sure you submit your request by downloading the most recent version of the form available on the TReNDS Intranet to assure the use of accurate account information.,"How do I get reimbursed for a work expense?
How do I request to have an invoice paid by TReNDS? 
How do I request a work expense to be paid by purchase card (P-Card)? 
Who should I contact for a publication fee reimbursement? 
How does my student get reimbursed for a conference fee?
Please reimburse my fMRI course
","""Reimburment"", ""Reimbursed"", ""P-Card"", ""Reimburse"""
Office Maintenance,"Please submit a TReNDS Facilities Report Form here: https://docs.google.com/forms/d/1EOLNfuPdOdfu-7AjYh7mwbn_oZTf_KGXWAtvTVxv0K8/edit?usp=sharing . If the situation is a facility emergency, please email ops@trendscenter.org or find a member of the Operations Team.","It is too cold in my office. Who do I contact?
It is too hot in my office. Who do I contact?
There are bugs in the kitchen. Who should I report this to?
How should I report a clogged sink?
Who do I complain about dirty dishes?
I need to make a maintenance request
","""Cold"", ""Hot"", ""Warm"", ""Chilly"", ""Bugs"", ""Leak"", ""Dirty Dishes"", ""Maintenance"", ""Clogged"", ""Clog"""
Human Resources concerns,"Please submit any HR concerns to the following email: hr@trendscenter.org. This will help ensure that the proper routing of your questions and concerns is handled directly by our HR support here at the Center. These inquiries may include questions about employee onboarding, payroll, employee training, or others specific to HR.","How do I change someone’s FTE?
When will I get paid?
What is the deadline to enroll into the OneUSG Benefits program for new employees? 
How to submit a request for leave in OneUSG?
How do I activate my email?
What is my temporary password for my CampusID? 
I am a new student. How do I get an email?
","""HR"", ""Human Resources"", ""FTE"", ""Paid"", ""Payment"", ""OneUSG"", ""Request Leave"", ""Activate email"" "
Wiki,The wiki is located at the following address: https://trendscenter.github.io/wiki/,"Where is the center's wiki?
Where's Salman's wiki?
","""Wiki"", ""Salman's Wiki"", ""Center Wiki"""
Submitting jobs to ARCTIC,You can find detailed examples on https://trendscenter.github.io/wiki/docs/Job_submission.html this wiki page,"How to submit jobs to cluster?
How to use slurm to submit my jobs?
","""Submit jobs"", ""Arctic"", ""Using Slurm"", ""Slurm"""
Conference Deadlines,Click on https://aideadlin.es/ to find out what's approaching,"What are the upcoming conference deadlines?
Where should I submit my paper?
When is IJCAI deadline? 
","""Conference"", ""Paper submission"", ""IJCAI deadline"""
Where to make individual purchases,"You can go to the https://panthermart.gsu.edu/ PantherMart, choose a vendor, form your cart, decide on the funding source, and assign the cart to either Brittny or Amanda.","How do I buy books and supplies myself?
Where's that PantherMart link?
","""Myself"", ""PantherMart"", ""Buy for myself"""
Office Access," Contact our building's Security at the desk on the lobby level of 55 Park Pl. You can do this in person, or by calling (404) 659-7212.","I am locked out of my office and no one is here onsite. How do I get in?
I am locked out of TReNDS and no one is here onsite. How do I get in?
","""Locked out"", ""Get in"", ""Access building"""
Emergencies,"If there is an emergency in our building, DO NOT call 911! Please call 3-333 (or 404-413-3333 if not calling from a GSU phone) which goes straight to GSU police. After, please call building security at 404-659-7212 if necessary.","Who do I call to report an emergency at TReNDS?
Who do I call to report an emergency in our building?
What do I do if there is an emergency?
How do I report an emergency?
","""Emergency"", ""Report emergency"""
Intranet Access,"You must use your GSU email and password when you are logging into any of our TReNDS Google accounts. TReNDS does not have access to G-Mail, which can make logging in challenging. We recommend logging in here: https://drive.google.com/drive/u/0/my-drive  first with your GSU credentials and then trying to navigate to the intranet ","How do I get into the intranet?
I get a 404 error when navigating to the intranet. How do I get in?
The link to the intranet is broken. How do I get in?
","""Intranet"", ""404 Error"""
Significant Financial Interests (SFI) disclosure form,"Step 1: Use your GSU CampusID and Password to login to https://sfi.gsu.edu         
Step 2: Under the My Disclosure tab scroll down to the Annual Disclosure section. Please note that if you are an employee in the TReNDS Department, your division is URSA and your Department is TReNDS. Please do not indicate Psychology as your department. Contact hr@trendscenter.org if you have questions regarding your department.
Step 3: Select Yes for Annual Disclosure and answer the corresponding questions that appear. 
Step 4: Select the Save Annual Disclosure button at the bottom of this section to save your responses.
Step 5: Make any other changes to your disclosure form that are needed.         
Step 6: Also click the Update button at the bottom of the form to save all changes and submit your disclosure.  
Please use the following How-To Guide for additional guidance: How to Complete an Annual Disclosure.","I need to complete the SFI disclosure form. Where is it located?
I need to complete the Significant Financial Interests disclosure form. Where is it located?
","""SFI"", ""Significant Financial Interests"""
Departments,All TReNDS non-faculty employees are in the TReNDS department under the division of URSA (University Research Services & Administration). TReNDS faculty employees are in the department of Computer Science which is under COAS. TReNDS is not part of Psychology or College of Arts and Sciences (COAS). Contact hr@trendscenter.org if you have questions regarding your department.,"What is my department?
Are we in the Psychology department?
Are we part of the College of Arts and Sciences (COAS)?

","""Which Deparment"", ""College of arts and sciences"", "
Directory Questions,A TReNDS Center specific directory can be found here: https://sites.google.com/gsu.edu/trends-center-intranet/center?pli=1&authuser=1  on the intranet. The GSU campus directory can be found here.  You can also find people by task on the trends intranet.,"Do we have a directory?
Where is the TReNDS directory?
Where is the GSU directory?
How do I look up someone’s work phone number?
How do I find someone’s office?
employee list at TReNDS
List of people who work at TReNDS
Who are all people working at the center?
Does this person work at the center?
What is the title of <NAME> who is TReNDS center employee?
","""Who to contact"", ""Find phone number"", ""Who works here"", ""List people"", ""Directory"", ""Who to contact"", ""Don't know who"""
Email Distribution Lists,TReNDS email lists and their descriptions can be found https://sites.google.com/gsu.edu/trends-center-intranet/center#h.ra032yz9u2k2 here on the intranet.;,"What is the difference between all@trendscenter.org and analysis@trendscenter.org?
Is there a list of all our email distribution lists?
","""Email lists"", ""all@trendscenter.org"", ""analysis@trendscenter.org"", ""Distribution lists"""
"Logos, Branding, and Templates","Official TReNDS Logos, Branding, letterhead and PowerPoint templates can be found https://sites.google.com/gsu.edu/trends-center-intranet/center?authuser=0#h.nc9a8mkfw3hb here on the intranet.","Where can I find our letterhead?
Are there official TReNDS PowerPoint templates for presentations?
Where can I find our logos?
Where can I download the TReNDS logo?
Where can I download the COINS, COINSTAC, or Brainforge logos?
Where are the files with center branding?
What are the TReNDS slide layouts?
Where are the slides?
TReNDS poster template
OHBM poster
","""Letterhead"", ""logo"", ""Powerpoints"", ""COINS"", ""COINSTAC"", ""Brainforge"", ""Center branding"", ""Files"", ""Slides"", ""OBHM"", ""Posters"""
COVID and Sick policy,COVID information for TReNDS can be found https://sites.google.com/gsu.edu/trends-center-intranet/covid?authuser=0 here on the intranet. GSU’s COVID information is located https://covidinfo.gsu.edu/ here and Georgia Tech’s is https://health.gatech.edu/tech-moving-forward here.,"What COVID rules and policies do TReNDS have?
What coronavirus rules and policies does GSU have?
Do I have to wear a mask?
Do I have to practice social distancing?
","""Covid"", ""Masks"", ""Social distancing"", ""Corona virus"""
Data loss in home directory,You may access daily snapshots of backups of your home directory in `~/.snapshots` (To view the content of this directory with the dates and other useful information `ls -lha ~/.snapshot`). Pick the snapshot you want to restore from and copy the data from `~/.snapthots/*/thefile` to the place in your home directory you have deleted it from.,"restore $HOME backups
How to restore data in my home directory
I have just deleted important data in my home directory
I have deleted something in my home dir
","""Home directory"", ""Home dir"", ""snapshots"", ""Restore data"", ""Contents of directory"""
New Hire Form,"Please, submit your new hire request using the https://docs.google.com/forms/d/e/1FAIpQLSdjzhLqanGNBuGMxqkb3FHJZQrE9gMofBtHM4e-hD84Xgg4PA/viewform New Hire Form","Where is the new hire form?
How do I request onboarding a new student?
How to hire a student?
","""New hire"", ""Onboarding new"""
